Experiment,Load_Factor,Algorithm,Drop_Rate,Avg_Latency_us,P99_Latency_us,Retries,Delivered,Buffer_Size,Raw_Latency_us
CDF_Raw,,ECMP,,,,,,,104.11200000000002
CDF_Raw,,ECMP,,,,,,,104.11200000000007
CDF_Raw,,ECMP,,,,,,,104.24000000000002
CDF_Raw,,ECMP,,,,,,,104.24000000000007
CDF_Raw,,ECMP,,,,,,,104.36800000000001
CDF_Raw,,ECMP,,,,,,,104.36800000000005
CDF_Raw,,ECMP,,,,,,,104.49600000000001
CDF_Raw,,ECMP,,,,,,,104.49600000000005
CDF_Raw,,ECMP,,,,,,,104.62400000000001
CDF_Raw,,ECMP,,,,,,,104.62400000000005
CDF_Raw,,ECMP,,,,,,,104.75200000000001
CDF_Raw,,ECMP,,,,,,,104.75200000000004
CDF_Raw,,ECMP,,,,,,,104.88
CDF_Raw,,ECMP,,,,,,,104.88000000000004
CDF_Raw,,ECMP,,,,,,,105.008
CDF_Raw,,ECMP,,,,,,,105.00800000000004
CDF_Raw,,ECMP,,,,,,,105.136
CDF_Raw,,ECMP,,,,,,,105.13600000000004
CDF_Raw,,ECMP,,,,,,,105.26399999999998
CDF_Raw,,ECMP,,,,,,,105.26400000000002
CDF_Raw,,ECMP,,,,,,,105.39199999999998
CDF_Raw,,ECMP,,,,,,,105.39200000000002
CDF_Raw,,ECMP,,,,,,,105.51999999999998
CDF_Raw,,ECMP,,,,,,,105.52000000000002
CDF_Raw,,ECMP,,,,,,,105.64799999999998
CDF_Raw,,ECMP,,,,,,,105.64800000000001
CDF_Raw,,ECMP,,,,,,,105.77599999999997
CDF_Raw,,ECMP,,,,,,,105.77600000000001
CDF_Raw,,ECMP,,,,,,,105.90399999999997
CDF_Raw,,ECMP,,,,,,,105.90400000000001
CDF_Raw,,ECMP,,,,,,,106.03199999999997
CDF_Raw,,ECMP,,,,,,,106.03200000000001
CDF_Raw,,ECMP,,,,,,,109.32800000000005
CDF_Raw,,ECMP,,,,,,,109.45600000000005
CDF_Raw,,ECMP,,,,,,,109.58400000000005
CDF_Raw,,ECMP,,,,,,,109.71200000000003
